Outcome,Team A,Team B,Score A,Score B,Date,Best Of
1,Envy,Gen.G,2,1,2021-03-11,3
-1,XSET,FaZe Clan,0,2,2021-03-11,3
1,Sentinels,Luminosity,2,1,2021-03-12,3
-1,Immortals,100 Thieves,0,2,2021-03-12,3
1,Gen.G,XSET,2,0,2021-03-13,3
1,Luminosity,Immortals,2,1,2021-03-13,3
-1,Envy,FaZe Clan,0,2,2021-03-14,3
1,Sentinels,100 Thieves,2,0,2021-03-14,3
-1,100 Thieves,Gen.G,0,2,2021-03-19,3
1,Envy,Luminosity,2,0,2021-03-19,3
-1,FaZe Clan,Sentinels,0,2,2021-03-19,3
1,Gen.G,Envy,2,1,2021-03-20,3
1,FaZe Clan,Gen.G,2,0,2021-03-20,3
1,Sentinels,FaZe Clan,3,0,2021-03-21,5
